Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
0.8888888888888888,0.5729280759401241,0.5729280759401242,0.8938229196965709,0.05419278144836426
0.9246704331450094,0.5637093829864914,0.5637093829864914,0.9132131930952859,0.1458299160003662
0.9378531073446328,0.5565899963490325,0.5565899963490325,0.9196667421114025,0.5397999286651611
0.8041431261770244,0.5560423512230741,0.5560423512230741,0.8432598495642012,0.03059530258178711
0.935969868173258,0.5555859802847755,0.5555859802847755,0.9184288404627388,0.4216034412384033
0.6384180790960452,0.5525739320920043,0.5525739320920044,0.7318849115459285,0.0498807430267334
0.9265536723163842,0.5505658999634904,0.5505658999634904,0.9123955666801085,0.0920414924621582
0.9133709981167608,0.5435377875136911,0.5435377875136912,0.9042612022838012,0.5719552040100098
0.9096045197740112,0.541529755385177,0.541529755385177,0.9019827764646985,0.2774014472961426
0.9190207156308852,0.5324023366192041,0.5324023366192041,0.9056527792906444,0.1290571689605713
0.9340866290018832,0.5262869660460022,0.5262869660460021,0.9121402866618832,0.3429996967315674
0.8775894538606404,0.5244614822928075,0.5244614822928076,0.8830252505131714,0.03527474403381348
0.8832391713747646,0.5133260313983206,0.5133260313983206,0.8848387767615999,0.03184366226196289
0.8832391713747646,0.5133260313983206,0.5133260313983206,0.8848387767615999,0.0403742790222168
0.9378531073446328,0.5,0.5,0.9077761855347466,0.06401538848876953
0.9378531073446328,0.5,0.5,0.9077761855347466,0.08437418937683105
0.9378531073446328,0.5,0.5,0.9077761855347466,0.029054880142211914
0.9378531073446328,0.5,0.5,0.9077761855347466,0.02335381507873535
0.9378531073446328,0.5,0.5,0.9077761855347466,0.1241457462310791
0.9378531073446328,0.5,0.5,0.9077761855347466,0.022952556610107422
0.9378531073446328,0.5,0.5,0.9077761855347466,0.049560546875
0.9378531073446328,0.5,0.5,0.9077761855347466,0.08314037322998047
0.9378531073446328,0.5,0.5,0.9077761855347466,0.15662384033203125
0.9378531073446328,0.5,0.5,0.9077761855347466,0.061734676361083984
0.9378531073446328,0.5,0.5,0.9077761855347466,0.02733778953552246
0.928436911487759,0.49497991967871485,0.49497991967871485,0.9030499646892656,0.08469486236572266
